Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
1/8/19,848.20,0.00,37.31,810.89,0.00,810.89,100.00%,0.00
1/7/19,876.80,0.00,44.29,832.51,0.00,832.51,100.00%,0.00
1/6/19,541.30,0.00,27.83,513.47,0.00,513.47,100.00%,0.00
1/5/19,813.40,0.00,16.71,796.69,0.00,796.69,100.00%,0.00
1/4/19,1069.10,0.00,45.00,1024.10,0.00,1024.10,100.00%,0.00
1/3/19,474.10,0.00,4.11,469.99,0.00,469.99,100.00%,0.00
1/2/19,618.40,0.00,21.83,596.57,0.00,596.57,100.00%,0.00
1/1/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
12/31/18,571.90,0.00,33.89,538.01,0.00,538.01,100.00%,0.00
12/30/18,374.50,0.00,34.73,339.77,0.00,339.77,100.00%,0.00
12/29/18,563.30,0.00,14.79,548.51,0.00,548.51,100.00%,0.00
12/28/18,478.80,0.00,21.54,457.26,0.00,457.26,100.00%,0.00
12/27/18,515.80,0.00,11.27,504.53,0.00,504.53,100.00%,0.00
12/26/18,879.80,0.00,25.40,854.40,0.00,854.40,100.00%,0.00
12/25/18,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
12/24/18,529.10,0.00,31.31,497.79,0.00,497.79,100.00%,0.00
12/23/18,551.50,31.20,12.14,508.16,-12.00,520.16,102.36%,0.00
12/22/18,604.10,0.00,11.62,592.48,0.00,592.48,100.00%,0.00
12/21/18,641.40,0.00,33.31,608.09,0.00,608.09,100.00%,0.00
12/20/18,650.10,0.00,26.11,623.99,0.00,623.99,100.00%,0.00
12/19/18,704.80,0.00,29.47,675.33,0.00,675.33,100.00%,0.00
12/18/18,1044.20,0.00,250.14,794.06,0.00,794.06,100.00%,0.00
12/17/18,802.30,0.00,10.11,792.19,0.00,792.19,100.00%,0.00
12/16/18,447.70,0.00,11.24,436.46,0.00,436.46,100.00%,0.00
12/15/18,654.40,0.00,19.99,634.41,0.00,634.41,100.00%,0.00
12/14/18,715.30,0.00,138.39,576.91,0.00,576.91,100.00%,0.00
12/13/18,578.00,0.00,35.62,542.38,0.00,542.38,100.00%,0.00
12/12/18,640.10,0.00,7.26,632.84,0.00,632.84,100.00%,0.00
12/11/18,835.70,0.00,54.38,781.32,0.00,781.32,100.00%,0.00
12/10/18,485.70,0.00,133.67,352.03,0.00,352.03,100.00%,0.00
12/9/18,575.30,0.00,22.02,553.28,0.00,553.28,100.00%,0.00
12/8/18,1000.00,0.00,58.10,941.90,0.00,941.90,100.00%,0.00
12/7/18,814.00,0.00,29.59,784.41,0.00,784.41,100.00%,0.00
12/6/18,787.40,0.00,82.78,704.62,0.00,704.62,100.00%,0.00
12/5/18,835.50,0.00,28.27,807.23,0.00,807.23,100.00%,0.00
12/4/18,759.50,0.00,70.53,688.97,0.00,688.97,100.00%,0.00
12/3/18,466.90,22.40,0.87,443.63,0.00,443.63,100.00%,0.00
12/2/18,452.10,0.00,26.10,426.00,0.00,426.00,100.00%,0.00
12/1/18,535.70,0.00,34.01,501.69,0.00,501.69,100.00%,0.00
11/30/18,701.50,0.00,14.51,686.99,0.00,686.99,100.00%,0.00
11/29/18,498.50,0.00,23.07,475.43,0.00,475.43,100.00%,0.00
11/28/18,767.50,0.00,47.05,720.45,0.00,720.45,100.00%,0.00
11/27/18,436.80,0.00,22.57,414.23,0.00,414.23,100.00%,0.00
11/26/18,684.10,0.00,41.05,643.05,0.00,643.05,100.00%,0.00
11/25/18,290.30,0.00,9.67,280.63,0.00,280.63,100.00%,0.00
11/24/18,466.80,0.00,4.74,462.06,0.00,462.06,100.00%,0.00
11/23/18,640.50,0.00,25.57,614.93,0.00,614.93,100.00%,0.00
11/22/18,495.80,0.00,17.02,478.78,0.00,478.78,100.00%,0.00
11/21/18,408.90,10.20,47.16,351.54,0.00,351.54,100.00%,0.00
11/20/18,595.80,0.00,35.76,560.04,0.00,560.04,100.00%,0.00
11/19/18,726.60,0.00,31.05,695.55,0.00,695.55,100.00%,0.00
11/18/18,521.40,0.00,20.06,501.34,0.00,501.34,100.00%,0.00
11/17/18,778.80,0.00,110.27,668.53,0.00,668.53,100.00%,0.00
11/16/18,829.00,0.00,44.69,784.31,0.00,784.31,100.00%,0.00
11/15/18,794.10,34.80,63.68,695.62,0.00,695.62,100.00%,0.00
11/14/18,625.90,0.00,20.86,605.04,0.00,605.04,100.00%,0.00
11/13/18,645.50,0.00,17.49,628.01,0.00,628.01,100.00%,0.00
11/12/18,675.70,0.00,96.74,578.96,0.00,578.96,100.00%,0.00
11/11/18,395.50,0.00,6.26,389.24,0.00,389.24,100.00%,0.00
11/10/18,576.60,0.00,15.76,560.84,0.00,560.84,100.00%,0.00
11/9/18,1040.10,0.00,111.31,928.79,0.00,928.79,100.00%,0.00
11/8/18,790.10,0.00,37.20,752.90,22.00,730.90,97.08%,0.00
11/7/18,846.40,27.70,31.43,787.27,24.20,763.07,96.93%,0.00
11/6/18,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
11/5/18,729.20,0.00,17.66,711.54,18.40,693.14,97.41%,0.00
11/4/18,584.20,0.00,14.41,569.79,14.00,555.79,97.54%,0.00
11/3/18,1145.20,0.00,162.23,982.97,14.20,968.77,98.56%,0.00
11/2/18,892.40,0.00,99.13,793.27,16.80,776.47,97.88%,0.00
11/1/18,952.70,0.00,66.57,886.13,15.60,870.53,98.24%,0.00
10/31/18,860.90,0.00,46.25,814.65,21.60,793.05,97.35%,0.00
10/30/18,820.00,0.00,43.71,776.29,13.40,762.89,98.27%,0.00
10/29/18,508.30,0.00,9.15,499.15,11.00,488.15,97.80%,0.00
10/28/18,346.70,0.00,15.95,330.75,18.60,312.15,94.38%,0.00
10/27/18,657.50,0.00,40.91,616.59,17.00,599.59,97.24%,0.00
10/26/18,1187.20,0.00,96.54,1090.66,23.80,1066.86,97.82%,0.00
10/25/18,677.30,0.00,34.87,642.43,11.60,630.83,98.19%,0.00
10/24/18,748.20,0.00,4.19,744.01,17.80,726.21,97.61%,0.00
10/23/18,613.60,0.00,24.13,589.47,16.60,572.87,97.18%,0.00
10/22/18,778.20,0.00,54.96,723.24,6.20,717.04,99.14%,0.00
10/21/18,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
10/20/18,644.70,0.00,26.77,617.93,15.20,602.73,97.54%,0.00
10/19/18,798.40,0.00,25.69,772.71,18.40,754.31,97.62%,0.00
10/18/18,780.20,0.00,30.32,749.88,17.00,732.88,97.73%,0.00
10/17/18,864.00,0.00,31.85,832.15,14.40,817.75,98.27%,0.00
10/16/18,629.70,0.00,29.93,599.77,24.00,575.77,96.00%,0.00
10/15/18,615.40,0.00,20.84,594.56,17.40,577.16,97.07%,0.00
10/14/18,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
