Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
A4. Mala Minced Pork Soup (Regular),A4R,Spicy Mains,75.000,454.00,1.000,6.00,12.60,435.40,0.00,435.40,100.00%,0.00
A4. Mala Minced Pork Soup (Tasting),A4T,Spicy Mains,21.000,63.70,0.000,0.00,2.51,61.19,0.00,61.19,100.00%,0.00
A5. Thai Bak Chor Mee (Large),A5L,Spicy Mains,15.000,121.00,0.000,0.00,6.40,114.60,0.00,114.60,100.00%,0.00
A5. Thai Bak Chor Mee (Regular),A5R,Spicy Mains,249.000,1500.80,1.000,6.00,49.44,1445.36,0.00,1445.36,100.00%,0.00
A5. Thai Bak Chor Mee (Tasting),A5T,Spicy Mains,39.000,125.00,1.000,3.00,2.60,119.40,0.00,119.40,100.00%,0.00
A6. Tom Yum Gung (Large),A6L,Spicy Mains,2.000,20.00,0.000,0.00,0.00,20.00,0.00,20.00,100.00%,0.00
A6. Tom Yum Gung (Regular),A6R,Spicy Mains,94.000,663.00,0.000,0.00,15.62,647.38,0.00,647.38,100.00%,0.00
A6. Tom Yum Gung (Tasting),A6T,Spicy Mains,17.000,68.00,1.000,4.00,1.20,62.80,0.00,62.80,100.00%,0.00
A7. Tom Yum Pork (Large),A7L,Spicy Mains,9.000,72.00,0.000,0.00,1.60,70.40,0.00,70.40,100.00%,0.00
A7. Tom Yum Pork (Regular),A7R,Spicy Mains,146.000,881.40,0.000,0.00,31.47,849.93,0.00,849.93,100.00%,0.00
A7. Tom Yum Pork (Tasting),A7T,Spicy Mains,43.000,129.00,1.000,3.00,7.80,118.20,0.00,118.20,100.00%,0.00
A8. Thai Stewed Chicken Soup (Large),A8L,Non Spicy Mains,2.000,16.00,0.000,0.00,0.80,15.20,0.00,15.20,100.00%,0.00
A8. Thai Stewed Chicken Soup (Regular),A8R,Non Spicy Mains,88.000,531.00,0.000,0.00,13.90,517.10,0.00,517.10,100.00%,0.00
A8. Thai Stewed Chicken Soup (Tasting),A8T,Non Spicy Mains,14.000,43.00,0.000,0.00,2.20,40.80,0.00,40.80,100.00%,0.00
A9. Thai Collagen Porridge (Large),A9L,Non Spicy Mains,4.000,32.00,0.000,0.00,2.40,29.60,0.00,29.60,100.00%,0.00
A9. Thai Collagen Porridge (Regular),A9R,Non Spicy Mains,77.000,469.00,1.000,6.00,18.60,444.40,0.00,444.40,100.00%,0.00
A9. Thai Collagen Porridge (Tasting),A9T,Non Spicy Mains,25.000,78.00,2.000,6.00,1.60,70.40,0.00,70.40,100.00%,0.00
B1. Mixed Platter (a. 1 Pax),B1a,Sides 1,32.000,224.00,0.000,0.00,4.20,219.80,0.00,219.80,100.00%,0.00
